PLAYER_ID,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT
2207,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,-0.17857142857142858,1.0,0.0,0.0
2544,2.6785714285714284,4.785714285714286,0.5714285714285714,1.5,0.8214285714285714,1.1428571428571428,0.2857142857142857,1.3571428571428572,1.6428571428571428,1.2142857142857142,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.32142857142857145,1.0357142857142858,6.75,-0.21428571428571427,0.5597014925373134,0.38095238095238093,0.71875
2546,0.6785714285714286,1.7857142857142858,0.14285714285714285,0.7857142857142857,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.5,0.6428571428571429,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.39285714285714285,0.17857142857142858,1.6428571428571428,-1.8571428571428572,0.38,0.18181818181818182,0.7999999999999999
2617,0.14285714285714285,0.39285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.2857142857142857,-1.1428571428571428,0.36363636363636365,0.0,0.0
2730,0.6428571428571429,1.0,0.03571428571428571,0.14285714285714285,0.6428571428571429,0.8571428571428571,0.2857142857142857,1.1071428571428572,1.3928571428571428,0.17857142857142858,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.21428571428571427,0.5,1.9642857142857142,-1.0357142857142858,0.6428571428571429,0.25,0.7500000000000001
2738,0.21428571428571427,0.6785714285714286,0.10714285714285714,0.4642857142857143,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.5,0.5357142857142857,0.17857142857142858,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.17857142857142858,0.6071428571428571,-0.21428571428571427,0.3157894736842105,0.23076923076923075,0.5
2772,0.2857142857142857,1.0,0.03571428571428571,0.5714285714285714,0.10714285714285714,0.21428571428571427,0.14285714285714285,0.5,0.6428571428571429,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.0,0.07142857142857142,0.17857142857142858,0.7142857142857143,-1.0,0.2857142857142857,0.0625,0.5
101108,0.8214285714285714,1.5714285714285714,0.03571428571428571,0.39285714285714285,0.32142857142857145,0.4642857142857143,0.17857142857142858,0.39285714285714285,0.5714285714285714,2.0,0.39285714285714285,0.39285714285714285,0.0,0.0,0.5357142857142857,0.5,2.0,0.75,0.5227272727272727,0.09090909090909091,0.6923076923076923
101139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,-0.17857142857142858,0.0,0.0,0.0
101150,0.21428571428571427,0.7857142857142857,0.10714285714285714,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.25,0.14285714285714285,0.03571428571428571,0.0,0.03571428571428571,0.07142857142857142,0.2857142857142857,0.8214285714285714,0.14285714285714285,0.2727272727272727,0.5,0.7999999999999999
200746,0.5,1.0357142857142858,0.03571428571428571,0.10714285714285714,0.21428571428571427,0.25,0.25,0.6071428571428571,0.8571428571428571,0.21428571428571427,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.0,0.25,0.21428571428571427,1.25,-0.5357142857142857,0.48275862068965514,0.3333333333333333,0.8571428571428571
200752,0.75,1.2857142857142858,0.25,0.5714285714285714,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.25,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.2857142857142857,0.10714285714285714,1.8214285714285714,2.2142857142857144,0.5833333333333333,0.4375,0.6666666666666666
200765,0.2857142857142857,0.5714285714285714,0.17857142857142858,0.35714285714285715,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.25,0.32142857142857145,0.8928571428571429,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.8214285714285714,-0.8214285714285714,0.5,0.5,0.6666666666666666
200768,1.0,1.75,0.5357142857142857,1.0,0.42857142857142855,0.5357142857142857,0.10714285714285714,0.5357142857142857,0.6428571428571429,1.3214285714285714,0.25,0.14285714285714285,0.0,0.0,0.5714285714285714,0.5357142857142857,2.9642857142857144,1.9642857142857142,0.5714285714285714,0.5357142857142857,0.7999999999999999
200782,0.39285714285714285,0.7857142857142857,0.10714285714285714,0.25,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.6785714285714286,0.8928571428571429,0.39285714285714285,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.0,0.21428571428571427,0.14285714285714285,1.0357142857142858,0.21428571428571427,0.5,0.42857142857142855,1.0
200794,0.17857142857142858,0.4642857142857143,0.0,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.17857142857142858,0.2857142857142857,0.4642857142857143,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.32142857142857145,0.14285714285714285,0.39285714285714285,-0.2857142857142857,0.38461538461538464,0.0,1.0
